word,count
think,  403 
reasons,  106 
share,  626 
friends,  151 
check,  130 
achieved,  127 
information,  1145 
october,  205 
day,  1026 
stay,  257 
announcements,  236 
lead,  446 
follow,  172 
requirements,  113 
process,  752 
mean,  415 
large,  384 
face,  498 
benefit,  424 
obtained,  179 
social,  1295 
carmel,  267 
sepuloni,  254 
numbers,  525 
benefits,  326 
cut,  730 
reason,  232 
greater,  360 
given,  638 
income,  828 
living,  749 
increases,  272 
putting,  385 
barriers,  102 
vulnerable,  465 
anne,  132 
tolley,  137 
confirmed,  194 
track,  256 
goes,  163 
case,  521 
left,  563 
complete,  142 
goal,  192 
achieve,  268 
financial,  702 
books,  220 
said,  1788 
ministry,  899 
online,  226 
internet,  120 
problem,  384 
form,  184 
lives,  649 
fiscal,  236 
shows,  1361 
investments,  236 
required,  496 
core,  325 
inequality,  221 
invest,  494 
managing,  137 
seen,  490 
fresh,  273 
approach,  827 
confirms,  115 
tax,  2279 
cuts,  567 
thing,  335 
properly,  293 
cent,  2177 
saving,  118 
leaving,  217 
taxpayers,  267 
super,  171 
responsibility,  317 
rules,  517 
announced,  1009 
march,  259 
green,  275 
create,  685 
framework,  120 
spending,  489 
revenue,  398 
ensure,  1607 
led,  552 
allowing,  160 
current,  787 
determined,  120 
robust,  101 
meeting,  326 
police,  1852 
resources,  375 
expect,  246 
progressive,  133 
establish,  237 
working,  1811 
mandate,  134 
balance,  173 
assets,  135 
wealth,  241 
changes,  990 
direction,  132 
multinational,  139 
legal,  386 
infrastructure,  857 
systems,  168 
taxes,  137 
documents,  319 
measure,  160 
success,  330 
reducing,  268 
improving,  250 
sustainability,  106 
remember,  149 
supporting,  538 
dignity,  110 
hope,  288 
deputy,  219 
stuart,  510 
nash,  723 
college,  132 
christmas,  161 
december,  156 
ways,  227 
crime,  402 
safer,  177 
communities,  1194 
today,  3183 
officers,  324 
coalition,  202 
agreement,  483 
extra,  575 
good,  1185 
especially,  299 
largest,  264 
example,  319 
northland,  233 
central,  366 
district,  359 
plenty,  124 
canterbury,  749 
southern,  128 
previously,  129 
increased,  504 
investment,  1354 
net,  197 
workforce,  283 
beginning,  163 
staff,  913 
increasingly,  215 
career,  150 
option,  122 
priorities,  254 
significant,  605 
drop,  235 
victims,  251 
holiday,  105 
diverse,  124 
role,  564 
meet,  667 
goals,  137 
bringing,  160 
thank,  224 
advice,  487 
enter,  110 
touch,  297 
stronger,  121 
powers,  168 
legislation,  600 
main,  228 
class,  264 
amendment,  303 
targets,  262 
consider,  195 
failed,  639 
deaths,  154 
drug,  293 
exactly,  128 
response,  644 
gives,  193 
rich,  104 
caught,  147 
addiction,  163 
treatment,  338 
issues,  1225 
law,  1068 
existing,  339 
discretion,  132 
requires,  106 
road,  408 
personal,  160 
supports,  174 
practice,  207 
organised,  141 
operation,  102 
area,  292 
ongoing,  214 
dhb,  195 
developing,  141 
comprehensive,  249 
based,  603 
abuse,  190 
problems,  433 
harm,  195 
risks,  206 
remains,  210 
come,  935 
alternative,  137 
decided,  112 
appropriate,  128 
calendar,  215 
customs,  175 
plant,  100 
step,  493 
temporary,  142 
brought,  154 
sell,  435 
industries,  619 
damien,  351 
connor,  360 
desperate,  219 
board,  511 
doubt,  114 
farmers,  564 
table,  165 
