word,count
putting,  0.031 
increasing,  0.062 
responding,  0.01 
growth,  0.189 
investing,  0.041 
significant,  0.117 
district,  0.055 
lane,  0.027 
bridge,  0.017 
built,  0.04 
falls,  0.006 
open,  0.078 
second,  0.067 
half,  0.041 
western,  0.012 
mid,  0.015 
capacity,  0.028 
highly,  0.019 
future,  0.154 
plans,  0.047 
improvements,  0.033 
pleased,  0.035 
alongside,  0.03 
lakes,  0.009 
council,  0.127 
development,  0.187 
city,  0.074 
confirms,  0.005 
able,  0.094 
begin,  0.021 
project,  0.12 
turning,  0.008 
mark,  0.027 
start,  0.073 
expected,  0.052 
occur,  0.007 
early,  0.084 
trade,  0.111 
todd,  0.065 
mcclay,  0.044 
exporters,  0.016 
succeed,  0.017 
overseas,  0.033 
markets,  0.028 
agenda,  0.018 
mpi,  0.019 
years,  0.353 
billion,  0.161 
supporting,  0.062 
thousands,  0.049 
jobs,  0.155 
countries,  0.068 
creating,  0.036 
improved,  0.03 
links,  0.016 
barriers,  0.016 
billions,  0.014 
entering,  0.01 
complex,  0.024 
brings,  0.018 
focus,  0.096 
helping,  0.048 
address,  0.063 
making,  0.112 
competitive,  0.015 
international,  0.121 
regulatory,  0.02 
requirements,  0.031 
resource,  0.026 
efforts,  0.031 
presence,  0.007 
europe,  0.006 
south,  0.06 
east,  0.04 
asia,  0.02 
establish,  0.017 
export,  0.028 
environments,  0.011 
guidance,  0.012 
case,  0.043 
studies,  0.008 
non,  0.031 
tariff,  0.006 
major,  0.07 
issue,  0.057 
gathering,  0.005 
easier,  0.027 
seek,  0.015 
expand,  0.015 
economic,  0.242 
intelligence,  0.008 
unit,  0.024 
market,  0.06 
agencies,  0.042 
identify,  0.017 
opportunities,  0.1 
develop,  0.044 
strategies,  0.005 
looks,  0.013 
good,  0.14 
exports,  0.026 
diverse,  0.014 
getting,  0.073 
best,  0.109 
high,  0.141 
quality,  0.096 
place,  0.094 
closely,  0.019 
internationally,  0.011 
resolve,  0.009 
hundreds,  0.034 
millions,  0.017 
dollars,  0.038 
improving,  0.044 
resources,  0.047 
fight,  0.018 
excellent,  0.015 
way,  0.126 
value,  0.054 
existing,  0.041 
plan,  0.171 
job,  0.071 
creation,  0.011 
living,  0.062 
known,  0.02 
judith,  0.08 
collins,  0.092 
lower,  0.035 
hutt,  0.024 
announcing,  0.011 
jobstart,  0.005 
west,  0.042 
late,  0.025 
faces,  0.006 
worst,  0.013 
christmas,  0.019 
unemployed,  0.006 
unemployment,  0.025 
benefits,  0.064 
kept,  0.013 
wage,  0.038 
subsidy,  0.021 
scheme,  0.065 
lost,  0.031 
lose,  0.011 
ahead,  0.053 
set,  0.087 
buy,  0.015 
capital,  0.048 
taxes,  0.08 
stages,  0.006 
successful,  0.044 
come,  0.089 
kiwisaver,  0.019 
savings,  0.011 
tax,  0.207 
taxpayers,  0.026 
funds,  0.017 
proper,  0.007 
financial,  0.07 
ideas,  0.039 
signed,  0.023 
recipients,  0.01 
addition,  0.022 
owners,  0.037 
write,  0.008 
investment,  0.179 
asset,  0.01 
previously,  0.024 
said,  0.116 
businesses,  0.217 
going,  0.087 
banks,  0.007 
banking,  0.005 
finance,  0.105 
additional,  0.075 
vision,  0.022 
feel,  0.026 
confident,  0.021 
gives,  0.022 
cash,  0.022 
payments,  0.012 
permanent,  0.013 
create,  0.059 
longer,  0.037 
planned,  0.019 
creates,  0.01 
entrepreneurs,  0.006 
wants,  0.026 
negative,  0.009 
indicators,  0.005 
head,  0.016 
recognise,  0.021 
things,  0.048 
amy,  0.023 
adams,  0.041 
weeks,  0.066 
decade,  0.019 
seeing,  0.03 
rising,  0.02 
firms,  0.011 
vast,  0.007 
workforce,  0.025 
confidence,  0.069 
levels,  0.037 
seen,  0.058 
drop,  0.017 
low,  0.049 
world,  0.169 
forecast,  0.019 
gdp,  0.029 
revenue,  0.042 
growing,  0.098 
wages,  0.015 
build,  0.075 
schools,  0.163 
hospitals,  0.01 
invest,  0.044 
better,  0.184 
raising,  0.016 
acknowledge,  0.034 
impact,  0.062 
having,  0.079 
anti,  0.014 
policies,  0.064 
foreign,  0.051 
bad,  0.021 
decisions,  0.052 
oil,  0.017 
