word,count
deal,  0.06 
boosting,  0.012 
minimum,  0.041 
restoring,  0.011 
rest,  0.026 
protected,  0.016 
incomes,  0.04 
scheme,  0.063 
leave,  0.057 
paid,  0.073 
workers,  0.144 
sick,  0.018 
pay,  0.155 
equity,  0.015 
organisation,  0.033 
workplace,  0.032 
kids,  0.068 
aren,  0.023 
immediate,  0.015 
way,  0.134 
difference,  0.031 
great,  0.073 
upgrading,  0.013 
single,  0.033 
hundreds,  0.034 
increasing,  0.059 
parents,  0.066 
donations,  0.045 
rates,  0.063 
expanding,  0.013 
initiative,  0.023 
like,  0.176 
record,  0.059 
passed,  0.03 
zero,  0.032 
carbon,  0.031 
act,  0.133 
banned,  0.011 
use,  0.096 
protections,  0.013 
waterways,  0.014 
offshore,  0.031 
gas,  0.011 
protection,  0.027 
thousands,  0.068 
protecting,  0.022 
forward,  0.043 
target,  0.04 
percent,  0.023 
electricity,  0.015 
generation,  0.038 
transport,  0.111 
climate,  0.103 
change,  0.185 
research,  0.053 
action,  0.101 
extending,  0.011 
parental,  0.022 
accept,  0.023 
cars,  0.024 
reality,  0.024 
previous,  0.029 
things,  0.052 
came,  0.034 
introduce,  0.017 
week,  0.179 
lift,  0.021 
extended,  0.015 
weeks,  0.049 
spend,  0.024 
days,  0.045 
payments,  0.017 
introduced,  0.029 
costs,  0.069 
best,  0.095 
vote,  0.048 
attack,  0.015 
global,  0.063 
pandemic,  0.011 
leading,  0.025 
times,  0.048 
progress,  0.045 
long,  0.143 
challenges,  0.047 
facing,  0.044 
leadership,  0.049 
clear,  0.091 
think,  0.042 
reasons,  0.011 
share,  0.066 
friends,  0.016 
check,  0.014 
achieved,  0.013 
information,  0.12 
october,  0.022 
day,  0.108 
stay,  0.027 
announcements,  0.025 
lead,  0.047 
follow,  0.018 
requirements,  0.012 
process,  0.079 
mean,  0.044 
large,  0.04 
face,  0.052 
benefit,  0.045 
obtained,  0.019 
social,  0.136 
carmel,  0.028 
sepuloni,  0.027 
numbers,  0.055 
benefits,  0.034 
cut,  0.077 
reason,  0.024 
greater,  0.038 
given,  0.067 
income,  0.087 
living,  0.079 
increases,  0.029 
putting,  0.04 
barriers,  0.011 
vulnerable,  0.049 
anne,  0.014 
tolley,  0.014 
confirmed,  0.02 
track,  0.027 
goes,  0.017 
case,  0.055 
left,  0.059 
complete,  0.015 
goal,  0.02 
achieve,  0.028 
financial,  0.074 
books,  0.023 
said,  0.188 
ministry,  0.094 
online,  0.024 
internet,  0.013 
problem,  0.04 
form,  0.019 
lives,  0.068 
fiscal,  0.025 
shows,  0.143 
investments,  0.025 
required,  0.052 
core,  0.034 
inequality,  0.023 
invest,  0.052 
managing,  0.014 
seen,  0.051 
fresh,  0.029 
approach,  0.087 
confirms,  0.012 
tax,  0.239 
cuts,  0.06 
thing,  0.035 
properly,  0.031 
cent,  0.229 
saving,  0.012 
leaving,  0.023 
taxpayers,  0.028 
super,  0.018 
responsibility,  0.033 
rules,  0.054 
announced,  0.106 
march,  0.027 
green,  0.029 
create,  0.072 
framework,  0.013 
spending,  0.051 
revenue,  0.042 
ensure,  0.169 
led,  0.058 
allowing,  0.017 
current,  0.083 
determined,  0.013 
robust,  0.011 
meeting,  0.034 
police,  0.194 
resources,  0.039 
expect,  0.026 
progressive,  0.014 
establish,  0.025 
working,  0.19 
mandate,  0.014 
balance,  0.018 
assets,  0.014 
wealth,  0.025 
changes,  0.104 
direction,  0.014 
multinational,  0.015 
legal,  0.041 
infrastructure,  0.09 
systems,  0.018 
taxes,  0.014 
documents,  0.033 
measure,  0.017 
success,  0.035 
reducing,  0.028 
improving,  0.026 
sustainability,  0.011 
remember,  0.016 
supporting,  0.056 
dignity,  0.012 
hope,  0.03 
deputy,  0.023 
stuart,  0.054 
nash,  0.076 
college,  0.014 
christmas,  0.017 
december,  0.016 
